_id,_name,_industry,_sector,_headquarters,_founded
2370,SHV Holdings,Industrials,Diversified industrials,Utrecht,1896
2371,SPAR,Consumer goods,Food retailers & wholesalers,Amsterdam,1932
2372,Spyker Cars,Consumer goods,Automobiles,Zeewolde,1999
2373,Stork B.V.,Industrials,Aerospace,Naarden,1868
2374,Talpa Network,Consumer services,Broadcasting & entertainment,Hilversum,2004
2375,Tele2 Netherlands,Telecommunications,Fixed line telecommunications,Amsterdam,1993
2376,Telfort,Telecommunications,Mobile telecommunications,Alphen aan den Rijn,1997
2377,Thales Nederland,Industrials,Defence & Electronics,Hengelo,1922
2378,TMF Group,Industrials,Financial administration,Amsterdam,1988
2379,TNT Express,Industrials,Delivery services,Hoofddorp,2011
2380,TomTom,Technology,Software,Amsterdam,1991
2381,Tony's Chocolonely,Consumer goods,Food products,Amsterdam,2005
2382,Transavia,Consumer services,Airlines,Schiphol-Oost,1965
2383,Triodos Bank,Financials,Banks,Zeist,1980
2384,Trust,Technology,Computer hardware,Dordrecht,1981
2385,TUI fly Netherlands,Consumer services,Airlines,Schiphol-Rijk,2005
2386,Vanguard Dutch Marine,Consumer goods,Recreational products,Heerenveen,2008
2387,VDL Bus & Coach,Industrials,Commercial vehicles & trucks,Valkenswaard,1993
2388,VDL NedCar,Consumer goods,Automobile,Born,1967
2389,Vedior,Industrials,Business training & employment agencies,Amsterdam,1998
2390,VEON,Telecommunications,Mobile telecommunications,Amsterdam,2009
2391,Verenigde Nederlandse Uitgeverijen,Consumer services,Publishing,Haarlem,1964
2392,Vitol,Energy,"Oil, gas & coal",Rotterdam,1966
2393,Vodafone Netherlands,Telecommunications,Mobile telecommunications,Maastricht,1995
2394,VolkerWessels,Industrials,Heavy construction,Amersfoort,1854
2395,Wavin,Industrials,Building materials & fixtures,Zwolle,1955
2396,WE,Consumer goods,Apparel retailers,Utrecht,1917
2397,Wercker,Technology,Software,Amsterdam,2011
2398,Wolters Kluwer,Industrials,Business support services,Alphen aan den Rijn,1836
2399,Zeeman,Consumer goods,Apparel retailers,Alphen aan den Rijn,1967
2400,11 bit studios,Technology,Software,Warsaw,2010
2401,4F,Consumer goods,Textile,Wieliczka,2007
2402,Adam�w Coal Mine,Basic materials,Coal,Turek,1979
2403,Agora,Consumer goods and services,Mass media,Warsaw,1989
2404,Allegro,Consumer services,E-commerce,Pozna?,1999
2405,Alior Bank,Financials,Banks,Warsaw,2008
2406,Amica,Consumer goods,Durable household products,Wronki,1945
2407,Asseco,Technology,Software,Rzesz�w,1991
2408,Bank Millennium,Financials,Banks,Warsaw,1989
2409,Bank Pekao,Financials,Banks,Warsaw,1929
2410,Belvedere Vodka,Consumer goods,Brewers,?yrard�w,1993
2411,Be?chat�w Coal Mine,Basic materials,Coal,Be?chat�w,1955
2412,Biedronka,Consumer services,Food retailers & wholesalers,Kostrzyn,1995
2413,Black Red White,Consumer goods,Household goods,Bi?goraj,1991
2414,Bochnia Salt Mine,Basic materials,General mining,Bochnia,1248
2415,Bogdanka Coal Mine,Basic materials,Coal,Lublin Voivodeship,1975
2416,Boryszew,Automotive industry,Automotive trade,Boryszew,1911
2417,Brainly,Technology,Software,Krak�w,2009
2418,Browar ?om?a,Consumer goods,Brewers,?om?a,1968
2419,Carlsberg Polska,Consumer goods,Brewers,Warsaw,2004
2420,CD Projekt,Technology,Software,Warsaw,1994
2421,CIECH,Chemical industry,Specialty chemicals,?�d?,1945
2422,Comarch,Technology,Software,Krak�w,1993
2423,Dino,Consumer services,Food retailers & wholesalers,Krotoszyn,1999
2424,E. Wedel,Consumer products,Confectionary,Warsaw,1851
2425,Elbrewery,Consumer goods,Brewers,Elbl?g,1998
2426,Elektrim,Industrials,Diversified industrials,Warsaw,1992
2427,Enea SA,Utilities,Conventional Electricity,Pozna?,2003
2428,Ericpol,Technology,Software,?�d?,1991
2429,Eurocash,Consumer services,Food retailers & wholesalers,Komorniki,1993
2430,Fablok,Industrials,Commercial vehicles & trucks,Chrzan�w,1919
2431,Fabryka Samochod�w Ma?olitra?owych,Consumer goods,Automobiles,Bielsko-Bia?a,1948
2432,Fabryka Samochod�w Osobowych,Consumer goods,Automobiles,Warsaw,1948
2433,F?T-Kra?nik,Industrials,Diversified industrials,Kra?nik,1938
2434,FASING S.A.,Industrials,Diversified industrials,Katowice,1913
2435,Gaworzyce mine,Basic materials,Nonferrous metals,Gaworzyce,2004
2436,Gaz-System,Utilities,Gas distribution,Warsaw,2004
2437,G?og�w G??boki-Przemys?owy mine,Basic materials,Nonferrous metals,Polkowice,2004
2438,Grupa Azoty,Chemical industry,Specialty chemicals,Tarn�w,1927
2439,Grupa Lotos,Oil & gas,Exploration & production,Gda?sk,2003
2440,Gubin Coal Mine,Basic materials,Coal,Gubin,1955
2441,Halemba Coal Mine,Basic materials,Coal,Ruda ?l?ska,1897
2442,Hortex,Consumer goods,Food products,Warsaw,1958
2443,ING Bank ?l?ski,Financials,Banks,Katowice,1988
2444,Inglot,Consumer goods,Cosmetics,Przemy?l,1983
2445,InPost,Consumer services,Logistics,Krak�w,2006
2446,ITI Group,Consumer services,Broadcasting & entertainment,Warsaw,1984
2447,Jab?kowski Brothers,Consumer services,Retail,Warsaw,1884
2448,JSW,Basic materials,Coal,Jastrz?bie-Zdr�j,1993
2449,K. Rudzki i S-ka,Industrials,Engineering and machinery,Warsaw,1858
2450,KGHM Polska Mied?,Basic materials,Nonferrous metals,Lubin,1961
2451,Kino Polska,Consumer services,Broadcasting & entertainment,Warsaw,2003
2452,K?odawa Salt Mine,Basic materials,General mining,K?odawa,1950
2453,Kompania Piwowarska,Consumer goods,Brewers,Pozna?,1999
2454,Kompania W?glowa,Basic materials,Coal,Katowice,2003
2455,Lech Browary Wielkopolski,Consumer goods,Brewers,Pozna?,1975
2456,"Lilpop, Rau i Loewenstein",Industrials,Engineering company,Warsaw,1818
2457,Livechat Software,Technology,Software,Wroc?aw,2002
2458,LOT Polish Airlines,Consumer services,Airlines,Warsaw,1929
2459,LPP,Consumer services,Apparel retailers,Gda?sk,1991
2460,Maspex,Food,Food concern,Wadowice,1990
2461,Multikino,Consumer services,Recreational services,Warsaw,1998
2462,Netia,Telecommunications,Fixed line telecommunications,Warsaw,1990[2]
2463,Okocim Brewery,Consumer goods,Brewers,Brzesko,1845
2464,Optimus S.A.,Technology,Computer hardware,Warsaw,1988
2465,Orange Polska,Telecommunications,Mobile telecommunications,Warsaw,1991
2466,Pesa SA,Industrials,Commercial vehicles & trucks,Bydgoszcz,1851
2467,PGNiG,Oil & gas,Exploration & production,Warsaw,1976
2468,PKN Orlen,Oil & gas,Exploration & production,P?ock,1999
2469,Play,Telecommunications,Mobile telecommunications,Warsaw,2007
2470,Plus,Telecommunications,Mobile telecommunications,Warsaw,1995
2471,Poczta Polska,Consumer services,Delivery services,Warsaw,1558
2472,Polcast Television,Consumer services,Broadcasting & entertainment,Warsaw,2006
2473,Polish State Railways,Industrials,Railroads,Warsaw,1926
2474,Polsat,Consumer services,Broadcasting & entertainment,Warsaw,1992
2475,Polska Grupa Energetyczna,Utilities,Conventional electricity,Warsaw,1990
2476,Polsteam,Industrials,Delivery services,Szczecin,1951
2477,PKO BP,Financials,Banks,Warsaw,1948
2478,PZU,Financials,Full line insurance,Warsaw,1803
2479,Pronar,Consumer goods,Machinery,Narew,1988
2480,PKS,Consumer services,Travel & tourism,Bia?ystok,1945
2481,Przewozy Regionalne,Consumer services,Travel & tourism,Warsaw,2001
2482,PSE (Polskie Sieci Elektroenergetyczne),Utilities,Conventional electricity,Konstancin-Jeziorna,2004[4]
2483,Pudliszki,Food Products,Fruit and vegetable processing,Pudliszki,1847
2484,Qumak,Technology,Software,Warsaw,1985
2485,Smyk Department Store,Consumer services,General retailers,Warsaw,2000
2486,Solaris Bus & Coach,Industrials,Commercial vehicles & trucks,Bolechowo,2001
2487,Techland,Technology,Software,Wroc?aw,1991
2488,Tele-Fonika Kable,Industrials,Diversified industrials,Bydgoszcz,1920
2489,Telewizja Polska,Consumer services,Broadcasting & entertainment,Warsaw,1952
2490,T-Mobile Polska,Telecommunications,Mobile telecommunications,Warsaw,1996
2491,TVN24,Consumer services,Broadcasting & entertainment,Warsaw,2001
2492,TVN 7,Consumer services,Broadcasting & entertainment,Warsaw,2002
2493,TVN Group,Consumer services,Broadcasting & entertainment,Warsaw,1995
